,Country,Exports_2014,Exports_2015,Exports_2016,Exports_2017,Exports_2018,Exports_2019,Exports_2020,Exports_2021,Exports_2022,Imports_2014,Imports_2015,Imports_2016,Imports_2017,Imports_2018,Imports_2019,Imports_2020,Imports_2021,Imports_2022,Trade_balance_2014,Trade_balance_2015,Trade_balance_2016,Trade_balance_2017,Trade_balance_2018,Trade_balance_2019,Trade_balance_2020,Trade_balance_2021,Trade_balance_2022,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,Inflation_2022,Openness_2014,Openness_2015,Openness_2016,Openness_2017,Openness_2018,Openness_2019,Openness_2020,Openness_2021,Openness_2022
78,"Mozambique, Rep. of",10570.117082,8126.135069,6647.976399,7856.975246,8993.759619,10724.700506,9282.682919,12787.652089,15927.530099,4189.389681,2760.389096,2821.20764,4042.57135,4466.953383,4047.438641,3444.153084,5151.947826,7221.175161,6380.727401000001,5365.745973,3826.768759,3814.403896,4526.806236,6677.261864999999,5838.529835000001,7635.704263,8706.354938,17716.091057267502,15950.979333158199,11936.993086957898,13219.0794977055,14845.4005926712,15390.031039995702,14156.8649164711,15776.7574195197,17851.491427676498,2.55974875844296,3.55075967356746,17.4180418197597,15.1132073899385,3.91133439990733,2.80270307928101,3.48393567493208,6.40847652975692,10.2794018093421,41.65565280537817,34.124939721944116,39.66318808270831,45.00898340941767,45.3363077606852,47.99255800267744,44.94934463983158,56.85452161673075,64.8368943115611
79,Namibia,6882.134465,6881.708593,5567.134408,4957.03067,5186.522418,4640.305109,3742.6719,5226.415925,5531.170336,2626.797471,2422.228183,1869.130719,2760.60266,3861.050213,2942.447759,2471.3702616,3004.987994,3114.258888,4255.336994,4459.48041,3698.003689,2196.42801,1325.4722049999996,1697.8573499999998,1271.3016384000002,2221.427931,2416.9114480000003,12435.4303961929,11335.1612301608,10722.018975078301,12895.153160466,13682.019171662701,12541.9281027657,10583.748757334499,12446.290854897301,12607.436975945999,5.35016966859592,3.39401538410559,6.72858234593346,6.14579981111162,4.29159105337873,3.72239414422688,2.20938236933476,3.61690530108811,6.08128114112414,38.23322407446048,41.04016073121183,34.67754134871643,29.92455085241153,33.063733201524585,30.229613843536065,29.35652718179696,33.06769870222481,34.287021384658914
80,Niger,977.207755,777.743511,567.024329,725.024333,750.349248,932.521513,1025.179973,1186.82762,1577.119182,345.181079,431.080587,360.7354,410.231336,607.111471,919.098788,2247.7755939,3387.894039,3735.126349,632.026676,346.66292400000003,206.28892899999997,314.792997,143.23777699999994,13.422725000000014,-1222.5956209,-2201.066419,-2158.007167,10862.943546285102,9683.867926727658,10398.861980652398,11185.1014443729,12808.6614874035,12916.4548705458,13744.174582253201,14915.0020984975,13969.6055825202,-0.930287259984461,-0.576090369833086,1.65388922387803,2.7963731887128,2.96760366004454,-2.48979265070851,2.89819376026271,3.83786802840503,4.22621791916396,6.086696613885236,6.241432179509712,4.460871443077825,5.074856382152593,5.298995216381415,7.167679984785785,11.906701080202069,15.335973903285089,19.01358452684975
81,Nigeria,27542.705518,22811.721404,17402.915077,20464.621637,22668.102002,26586.761692,26030.897724,36022.022061,36087.472541,46804.733548,27543.304841,18053.036251,19955.384779,29052.667498,26373.321608,19253.2603997,25424.640787,28082.234718,-19262.02803,-4731.583437000001,-650.1211739999999,509.2368580000002,-6384.565495999999,213.4400840000017,6777.637324299998,10597.381274000005,8005.237823000003,574183.825592358,493026.782401561,404649.048648026,375745.73227467603,421739.210176152,474517.47074274905,432198.936002177,440833.58399248496,477386.12063584494,8.04741087967911,9.00943498007705,15.6968126387972,16.5022662139641,12.0951065173432,11.3964223378115,13.2460234276598,16.9528457221608,18.8471877843274,6.474184377215719,5.106723208799922,4.3810743465803235,5.37863812468432,6.131842647307713,5.580414480535674,5.238809533241412,6.9693717855497495,6.720943957642761
82,Rwanda,1137.439938,1023.781668,813.255524,862.071827,1268.267713,1199.837118,1320.82395,1729.989563,1918.63086,293.045009,276.353189,366.145203,507.314206,892.08222,714.648189,847.2696856,884.937643,870.30675,844.394929,747.4284789999999,447.11032100000006,354.757621,376.185493,485.1889289999999,473.5542644,845.0519200000001,1048.32411,8239.042500287329,8543.86936036164,8695.31885411055,9252.83367808916,9636.51083930707,10346.6756363397,10172.925171586901,11055.2819710454,13312.796765233601,2.35449052820364,2.52850284192422,7.17434301982013,8.27953672260826,-0.311210160390642,3.3478765503764,9.85039902274209,-0.391346748300792,17.6892095588154,8.681135865909862,7.608583430780412,6.781814139239185,7.3998197776035095,11.20919163079229,9.25169288324805,10.656195730484242,11.826596611686105,10.474649539018415
83,"São Tomé and Príncipe, Dem. Rep. of",83.599298,71.294518,63.140589,46.448934,49.710628,37.961185,58.199739,42.241764,77.651445,5.819733,1.877898,8.313941,486.908754,697.725872,1.580715,12.5986327,3.238583,3.902961,77.779565,69.41662,54.826648,-440.45982,-648.0152439999999,36.38047,45.6011063,39.003181000000005,73.74848399999999,346.528329183227,316.066072343754,345.495614979982,375.614126193877,412.253809728799,427.42503968433897,472.55102361041895,526.653790670814,546.680341647274,6.99849943966418,5.24587835022457,5.43051966119159,5.69029619929012,7.86859628873909,7.72024525213251,9.81932791540149,8.13777038378733,18.0056351122841,12.9021242232579,11.575493607617833,10.340873646708957,70.99808697353171,90.65246728607563,4.625594704185136,7.491082249603556,4.317860025470469,7.459057861332434
84,Senegal,4847.810611,5427.583973,5340.086908,6085.504108,6685.003046,6726.324784,6773.532379,9645.294933,12734.693604,2054.619965,2269.747097,2171.026767,2576.379628,2796.457037,2804.524284,3398.5321786,5172.540239,5029.20478,2793.190646,3157.836876,3169.0601410000004,3509.12448,3888.546009,3921.8005,3375.0002004000003,4472.754693999999,7705.488824,19797.2534452673,17774.7666966987,19040.312331161498,20996.562958501,23116.7015395646,23403.9959849306,24530.5130585946,27569.1367282565,27684.4302444907,-1.09025507446894,0.135211933635241,0.837284942557418,1.31815314847782,0.46098564246427,1.76011151192936,2.54314685681659,2.18032278088145,9.69681899081076,17.432798431062377,21.652410974906413,19.724239666770757,20.62690868291139,20.50781351044467,20.361584992017466,20.733493289159068,26.873955681050976,32.08283180676091
85,Sierra Leone,839.364057,966.028307,676.328039,761.107893,780.612846,895.122531,965.021854,1411.126376,1549.72821,1972.131524,363.272992,407.557259,622.25097,468.494284,452.603348,322.6188237,857.524515,1184.095715,-1132.767467,602.7553150000001,268.77078,138.85692299999994,312.118562,442.519183,642.4030303,553.601861,365.63249500000006,5015.18083619495,4252.02935382191,3862.72120461052,3719.4433175241297,4085.1145420683097,4076.57865354714,4062.90636355623,4249.23457398708,3970.34385231939,4.63931171409662,6.68943562498683,10.8860609413903,18.2215094003386,16.0295447693699,14.804999090602,13.4468711101053,11.8739588840234,27.2082883814653,28.029852490155672,15.63137490813846,14.030074144443574,18.596315965917736,15.288520274483808,16.5301100940038,15.846300191040314,26.694818225477633,34.42804989551419
86,South Africa,67822.898101,54100.390348,47675.304654,49929.775843,57674.32872,56262.075897,48219.330858,65750.446195,80921.205073,92596.547812,59127.507893,58842.033308,67303.689475,76889.806925,69487.73948,60912.5637771,85615.833627,93109.762133,-24773.649711000005,-5027.117545000001,-11166.728654,-17373.913632000003,-19215.478205,-13225.663583,-12693.232919099995,-19865.387432000003,-12188.557059999992,381198.86977610603,346709.790458563,323585.509674481,381448.814653456,404158.88245902397,388531.226582351,337619.569570511,419015.636064711,405869.71846234304,6.12983770287145,4.54064227737914,6.57139642173959,5.18424664766131,4.51716522786587,4.12024587014984,3.21003597454107,4.61167217803201,7.03972661255875,21.041437768063297,16.328915617185668,16.458916542516658,15.36686716729031,16.64743019209072,16.182716699908127,16.161962230733202,18.062127853222123,21.43926478000437
87,"Tanzania, United Rep. of",14451.468963,11694.517326,9344.392551,9837.76303,11101.925231,10479.360993,9887.659752,15483.042555,21084.502695,3739.961924,3643.358454,3677.356985,6003.952376,6125.113621,4427.466725,5273.4210443,7137.192922,8322.946583,10711.507039,8051.158871999999,5667.0355660000005,3833.810654,4976.811609999999,6051.894268,4614.238707699999,8345.849633,12761.556111999998,49964.8250811078,47378.6037836471,49774.0049992038,53275.9680948533,57003.6860494102,61026.7658503054,66068.7377572651,70655.6281405826,75709.28905644569,6.13161432988016,5.58816952959301,5.17476629301494,5.31871605228923,3.49445848856184,3.46428057999023,3.29029062798326,3.690919588022,4.35027204269101,18.204237538578276,16.186500397985476,13.080873777595656,14.867599756981592,15.110460433267228,12.21335221545695,11.473717609076651,16.007384034568915,19.421295355233774
88,Togo,4707.954459,5193.923349,3686.614881,3905.256565,4145.022719,5263.187115,5888.576891,8862.993592,12790.076752,2223.846841,2380.199416,2174.855304,3226.994962,3438.592902,2575.378426,2022.3059921,4124.334679,4327.129316,2484.1076179999995,2813.723933,1511.7595769999998,678.2616029999999,706.4298169999997,2687.8086889999995,3866.2708989,4738.658913000001,8462.947436000002,6217.047648639849,5681.46937410362,6031.63201486013,6395.47202824361,7029.21793175029,6992.65642893581,7389.3293927704,8334.04748551396,8126.43948061302,0.190875076249778,2.58500390801595,1.28544847051414,-0.98188986894308,0.927755426457187,0.674652770077441,1.69928463299411,4.18621506523513,7.96757361617946,55.74833660408347,66.65637237721614,48.58942132543147,55.76016512544057,53.94352326697363,56.04855336924458,53.52909893853073,77.91729224949978,105.31799386949201
89,Uganda,2756.931243,2767.300568,2794.069224,3082.062563,3370.952129,3537.064085,3857.024651,4739.390067,6044.678367,1010.807316,1345.060236,1573.681837,2450.807379,3303.488104,3058.072435,2928.7247777,3644.814324,4268.519413,1746.123927,1422.240332,1220.3873869999998,631.2551840000001,67.46402499999976,478.99165,928.2998733000004,1094.5757430000003,1776.1589540000004,32612.3972532395,32387.183733020698,29203.988697459,30744.4738397439,32927.0256213848,35348.155092292,37605.430214347,40510.2413659029,45559.2020487345,3.07570668958641,5.58968606251724,5.70637504616216,5.20971705914217,2.61601190952264,2.86758803446909,3.31332289544493,2.20457204757416,7.19578885975806,5.776543395051613,6.348747143159593,7.478004299768874,8.998153571988546,10.135200655149998,9.328827067184239,9.022299957774639,10.348252822380006,11.318457431462488
