Country,Exports_2014,Exports_2015,Exports_2016,Exports_2017,Exports_2018,Exports_2019,Exports_2020,Exports_2021,Exports_2022,Imports_2014,Imports_2015,Imports_2016,Imports_2017,Imports_2018,Imports_2019,Imports_2020,Imports_2021,Imports_2022,Mapped_Country,Trade_balance_2014,Trade_balance_2015,Trade_balance_2016,Trade_balance_2017,Trade_balance_2018,Trade_balance_2019,Trade_balance_2020,Trade_balance_2021,Trade_balance_2022,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,Inflation_2022
"Nauru, Rep. of",38.347674,29.832351,7.466341,10.25784,11.935668,3.994307,4.745105,15.541926,17.587492,34.895951,28.103026,1.003938,16.737046,21.576737,44.360022,111.45624,215.348507,220.792241,Nauru,3.451723000000001,1.7293249999999993,6.462403,-6.479206,-9.641069000000002,-40.365715,-106.711135,-199.80658100000002,-203.204749,99149259.8365624,84863407.8650093,97541914.5833045,109355653.690742,130995580.092154,125160081.80546,124685686.622889,145536603.234791,150922211.044258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,7399.172073,4737.413303,5989.503679,7080.880759,8999.682627,9233.885706,7447.981562,12026.965033,10998.992839,716.406933,578.05297,502.176095,1135.519921,1036.726638,759.144313,921.3461609,1412.718736,1010.629194,Nepal,6682.7651399999995,4159.3603330000005,5487.327584000001,5945.360838,7962.955989,8474.741392999998,6526.6354011,10614.246297,9988.363645000001,22731612827.3458,24360801338.0543,24524109484.7453,28971588880.8208,33111525182.7133,34186180694.9285,33433659223.1789,36924841430.0574,40828247302.4851,8.36415469659556,7.86890895590905,8.79034332004629,3.62709610696609,4.0611633875107,5.56868547784925,5.05236655289216,4.08791045882441,7.69271853302473
New Caledonia,294.279425,318.997085,196.789662,181.872959,282.058702,290.218457,241.487107,291.632456,424.034079,410.856163,568.479624,585.897137,840.42621,1164.502586,1068.995009,1169.0544469999998,1191.849156,1910.02469,New Caledonia,-116.57673799999998,-249.48253899999992,-389.107475,-658.5532509999999,-882.443884,-778.776552,-927.5673399999997,-900.2167,-1485.990611,10635035550.01,8738203041.54697,8724568970.67697,9173669999.59434,9896402295.48329,9475655341.98316,9454629451.03219,10071349707.1581,0.0,0.178851060785501,0.570508141048026,0.578317435521153,0.0,0.0,0.0,0.0,0.0,0.0
"Palau, Rep. of",31.219601,40.784734,88.941081,44.438492,44.299177,53.960606,50.376732,68.055449,99.400523,0.689999,5.982475,1.849381,9.599946,10.638538,6.809397,7.559927,21.175268,8.211311,Palau,30.529602,34.802259,87.0917,34.838545999999994,33.660639,47.151209,42.816804999999995,46.88018099999999,91.18921200000001,241669800.0,280457700.0,298300000.0,285600000.0,284900000.0,278900000.0,251900000.0,217800000.0,0.0,4.19174548581256,0.94904064369715,-1.04230533415084,1.41798819666923,2.10970464135021,0.267379679144381,0.218181818181824,2.61248185776489,12.3526638378123
Papua New Guinea,1491.294252,1936.550612,1563.405064,1884.187571,1856.225842,1595.960494,1600.712082,1867.587007,2509.779894,2006.533406,2673.971037,2407.143154,3134.25842,3721.738858,3967.319555,3022.949408,3919.495538,5223.729298,Papua New Guinea,-515.2391540000001,-737.4204249999998,-843.7380899999998,-1250.0708490000002,-1865.513016,-2371.359061,-1422.237326,-2051.908531,-2713.9494040000004,23210823987.308,21723439625.73,20758874952.5805,22742696407.5093,24109780113.2307,24751069237.9977,23848442440.267,26311656000.0,30633444294.631,5.22211720226844,5.99595778127105,6.67372881355933,5.42204568023833,4.37448921453166,3.92867290939598,4.87167398565548,4.48359014042394,0.0
Philippines,49174.226834,48345.139619,53475.400483,59365.019827,67481.644987,70214.415259,67034.972618,92424.81526,107467.1909,32240.049366,30352.71177,29389.85118,34188.044295,36731.350862,35687.016059,33951.0516821,42547.771208,43470.779679,Philippines,16934.177468,17992.427849,24085.549302999996,25176.975531999997,30750.294125000008,34527.3992,33083.9209359,49877.044052000005,63996.411221,297483553299.593,306445871631.969,318627003965.989,328480738147.1,346841896890.489,376823404772.837,361751145432.404,394087362017.318,404284327311.713,3.5978234386421,0.674192536845387,1.25369880080986,2.85318772590939,5.30934661627714,2.39206534422402,2.39316239316241,3.92718022100326,5.82115811213952
Samoa,125.817934,118.162879,136.542223,117.53015,127.154011,145.903267,118.06489,145.426551,167.096074,14.515664,23.325871,38.475436,19.142537,24.057597,31.033515,42.5740204,17.730281,42.722212,Samoa,111.30227,94.837008,98.066787,98.387613,103.096414,114.869752,75.4908696,127.69626999999998,124.37386199999999,796683672.75348,824150487.210566,843924750.673535,884844419.778891,878448439.453724,912950619.371868,868898350.356664,843850777.823854,832421565.372356,-0.406816088424881,0.724470134874833,1.30471869303168,1.74989677484723,4.19745888663745,0.982326569888142,-1.568912477409,3.1332047317449,10.9618822286845
Solomon Islands,138.90882,170.649215,207.945223,183.920085,230.35291,182.353086,169.307696,250.518029,302.848708,538.328735,580.65264,507.352112,701.490467,766.204025,571.852285,415.64212069999996,396.344243,379.498758,Solomon Islands,-399.41991500000006,-410.003425,-299.406889,-517.570382,-535.8511149999999,-389.4991990000001,-246.33442469999997,-145.826214,-76.65005000000002,1335571356.68714,1307909891.29375,1379490315.02286,1469789050.30851,1615478421.45974,1619154958.40233,1536145831.0639,1580303517.17092,1595710784.31373,5.16590237925172,-0.574469286359543,0.512485626268801,0.488686760260984,3.46147484973745,1.63485544012242,2.96354992076069,-0.1154378944128,5.51812928576933
Sri Lanka,15764.98738,13875.475441,12211.514472,12986.387888,14070.94728,13027.572625,10600.719306,14728.595774,14643.18176,3220.989157,3481.438976,3239.940971,3622.974739,4237.88227,3926.144636,3382.9992885,4652.921645,4758.613135,Sri Lanka,12543.998223,10394.036465000001,8971.573501,9363.413149,9833.06501,9101.427989,7217.720017500001,10075.674128999999,9884.568625,82528535572.5429,85140955516.7505,88012281909.7522,94376237831.5778,94493871351.4217,89014978319.0703,84440535698.8207,88496535599.3564,74403578363.4355,3.17900228236063,3.76836783062096,3.9588884659307,7.70413767850605,2.13503773713198,3.52839358231808,6.15394508391743,7.01478071238187,49.7211021114328
Thailand,104229.04828,91590.324153,86965.547687,95538.346973,111242.296275,108211.349443,102677.790297,139331.08056,167967.975167,121730.120731,117352.955675,119069.352892,131904.349151,143004.264626,137136.057873,122917.4239431,158784.186595,172055.36446,Thailand,-17501.072451,-25762.63152200001,-32103.805204999997,-36366.002177999995,-31761.96835099999,-28924.708430000013,-20239.633646100003,-19453.106035000004,-4087.3892930000147,407339036017.221,401296242133.903,413366345843.744,456356812774.563,506754212432.991,543976695638.812,500457261548.076,505568057004.254,495340592811.188,1.89514181898783,-0.900424963291544,0.188149704448173,0.66563189313507,1.06389754183022,0.70672860131428,-0.845937147357037,1.23039541318382,6.07741228434321
"Timor-Leste, Dem. Rep. of",362.129096,365.270061,254.43309,298.658456,233.069919,444.042946,527.02515,621.648273,761.051897,1.893583,2.538311,11.002194,3.672378,9.589391,40.174113,14.139605,1039.459445,177.170684,Timor-Leste,360.235513,362.73175,243.430896,294.986078,223.480528,403.868833,512.8855450000001,-417.81117199999994,583.8812130000001,1447310400.0,1594447600.0,1650619400.0,1595724300.0,1563887900.0,2028551600.0,2158392500.0,3621222400.0,3163324631.03158,0.848838206293416,0.646148614181263,-1.46984287886469,0.522976680384116,2.29424307036244,0.958812739703201,0.0,0.0,0.0
